Name,Allegiances,DeathYear,BookofDeath,DeathChapter,BookIntroChapter,Gender,Nobility,GoT,CoK,SoS,FfC,DwD
Addam Marbrand,Lannister,none,none,none,56,1,1,1,1,1,1,0
Aegon Frey (Jinglebell),none,299,3,51,49,1,1,0,0,1,0,0
Aegon Targaryen,House Targaryen,none,none,none,5,1,1,0,0,0,0,1
Adrack Humble,House Greyjoy,300,5,20,20,1,1,0,0,0,0,1
Aemon Costayne,Lannister,none,none,none,none,1,1,0,0,1,0,0
Aemon Estermont,Baratheon,none,none,none,none,1,1,0,1,1,0,0
Aemon Targaryen (son of Maekar I),Night's Watch,300,4,35,21,1,1,1,0,1,1,0
Aenys Frey,none,300,5,none,59,0,1,1,1,1,0,1
Aeron Greyjoy,House Greyjoy,none,none,none,11,1,1,0,1,0,1,0
Aethan,Night's Watch,none,none,none,0,1,0,0,0,1,0,0
Aggar,House Greyjoy,299,2,56,50,1,0,0,1,0,0,0
Aggo,House Targaryen,none,none,none,54,1,0,1,1,1,0,1
Alan of Rosby,Night's Watch,300,5,4,18,1,1,0,1,1,0,1
Alayaya,none,none,none,none,15,0,0,0,1,0,0,0
Albar Royce,Arryn,none,none,none,38,1,1,1,0,0,1,0
Albett,Night's Watch,none,none,none,26,1,0,1,0,0,0,0
Alebelly,House Stark,299,2,46,4,1,0,0,1,0,0,0
Alerie Hightower,House Tyrell,none,none,none,6,0,1,0,0,1,1,0
Alesander Staedmon,Baratheon,none,none,none,65,1,1,0,1,0,0,0
Alester Florent,Baratheon,300,4,none,36,1,1,0,1,1,0,0
Alia of Braavos,none,none,none,none,28,0,0,1,0,0,0,0
Alla Tyrell,House Tyrell,none,none,none,6,0,1,0,0,1,1,0
Allard Seaworth,Baratheon,299,2,10,10,1,1,0,1,0,0,0
Alliser Thorne,Night's Watch,none,none,none,19,1,0,1,1,1,0,1
Alyn,House Stark,298,3,34,12,1,0,1,0,0,0,0
Alyn Ambrose,Tyrell,none,none,none,59,1,1,0,1,0,1,0
Alyn Estermont,Baratheon,none,none,none,none,1,1,0,1,1,0,0
Alyn Stackspear,Lannister,none,none,none,16,1,1,0,0,0,1,0
Alys Karstark,Stark,none,none,none,44,0,1,0,0,0,0,1
Alysane Mormont,Stark,none,none,none,35,0,1,0,0,0,0,1
Alyx Frey,none,none,none,none,49,1,1,0,0,1,0,0
Ambrode,Greyjoy,none,none,none,24,1,0,0,1,0,0,0
Amory Lorch,House Lannister,299,2,47,14,1,1,0,1,0,0,0
Andar Royce,Arryn,none,none,none,29,1,1,1,0,0,0,0
Andrew Estermont,Baratheon,none,none,none,36,1,1,0,0,1,0,0
Andrey Dalt,Martell,none,none,none,21,1,1,0,0,0,1,0
Andrik,Greyjoy,none,none,none,19,1,1,0,0,0,1,0
Anguy,none,none,none,none,30,1,0,1,0,1,0,0
Antario Jast,Lannister,none,none,none,32,1,1,0,1,0,0,0
Anvil Ryn,none,299,3,34,34,1,0,0,0,1,0,0
Anya Waynwood,Arryn,none,none,none,38,0,1,1,0,0,1,0
Archibald Yronwood,Martell,none,none,none,6,1,1,0,0,0,0,1
Ardrian Celtigar,Baratheon,none,none,none,10,1,1,0,1,1,0,0
Areo Hotah,House Martell,none,none,none,2,1,0,0,0,0,1,1
Arianne Martell,House Martell,none,none,none,2,0,1,0,0,0,1,1
Arneld,Lannister,none,none,none,59,1,0,0,1,0,0,0
Arnolf Karstark,Stark,none,none,none,3,1,1,0,0,0,0,1
Aron Santagar,Lannister,299,2,41,18,1,1,1,1,0,0,0
Arron,Night's Watch,none,none,none,75,1,0,0,0,1,0,1
Arron Qorgyle,Martell,none,none,none,38,1,1,0,0,1,0,0
Arryk (Guard),House Tyrell,none,none,none,6,1,0,0,0,1,1,0
Arson,Wildling,none,none,none,26,1,0,0,0,1,0,0
Arthor Karstark,Stark,none,none,none,62,1,1,0,0,0,0,1
Arwyn Frey,none,none,none,none,49,0,1,0,0,1,0,0
Arwyn Oakheart,Tyrell,none,none,none,22,0,1,0,1,0,0,0
Arya Stark,Stark,none,none,none,2,0,1,1,1,1,1,1
Arys Oakheart,Lannister,300,4,21,57,1,1,1,1,0,1,0
Asha Greyjoy,House Greyjoy,none,none,none,11,0,1,0,1,0,1,1
Aurane Waters,Lannister,none,none,none,65,1,0,0,1,0,1,0
Axell Florent,Baratheon,none,none,none,0,1,1,0,1,1,0,1
Azzak,none,none,none,none,2,1,1,0,0,0,0,1
Ballabar,Lannister,none,none,none,4,1,0,0,1,0,0,0
Balon Swann,Lannister,none,none,none,29,1,1,1,1,1,1,1
Bannen,Night's Watch,299,3,33,0,1,0,0,0,1,0,0
Barbrey Dustin,Stark,none,none,none,26,0,1,0,0,0,0,1
Barra,none,299,2,39,35,0,0,1,0,0,0,0
Barristan Selmy,Targaryen,none,none,none,15,1,1,1,1,1,0,1
Barsena,none,300,5,52,11,0,0,0,0,0,0,1
Barth (brewer),House Stark,none,none,none,50,1,0,0,1,0,0,0
Bass,Night's Watch,none,none,none,52,1,0,1,0,0,0,0
Bayard Norcross,Tyrell,none,none,none,28,1,1,0,0,0,1,0
Bearded Ben,Night's Watch,none,none,none,none,1,0,0,0,0,1,0
Becca,House Arryn,none,none,none,12,0,0,1,0,0,0,0
Becca the Baker,none,299,3,34,34,0,0,0,0,1,0,0
Bedwyck,Night's Watch,none,none,none,13,1,0,0,1,1,0,1
Belaquo,none,none,none,none,52,1,0,0,0,0,0,1
Bella,none,none,none,none,29,0,0,0,0,1,0,0
Bellegere Otherys (courtesan),none,none,none,none,34,0,1,0,0,0,1,0
Bellonara Otherys,none,none,none,none,34,0,1,0,0,0,1,0
Belwas,House Targaryen,none,none,none,63,1,0,0,1,1,0,1
Ben,none,none,none,none,37,1,0,0,0,0,1,0
Ben Bones,none,none,none,none,12,1,0,0,0,0,0,1
Ben Plumm,none,none,none,none,57,1,0,0,0,1,0,1
Benedar Belmore,Arryn,none,none,none,23,1,1,0,0,0,1,0
Benfred Tallhart,Stark,299,2,37,16,1,1,0,1,0,0,0
Benfrey Frey,none,299,5,51,51,1,1,0,0,1,0,0
Benjen Stark,Night's Watch,298,1,24,5,1,1,1,0,0,0,0
Bennet,none,300,4,31,31,1,0,0,0,0,1,0
Beric Dondarrion,none,300,4,27,42,1,1,1,0,1,0,0
Bessa (Winterfell),Stark,none,none,none,37,0,0,1,0,0,0,0
Beth Cassel,Stark,none,none,none,7,0,1,1,1,0,0,0
Bhakaz zo Loraq,none,none,none,none,2,1,1,0,0,0,0,1
Big Boil,Wildling,none,none,none,41,1,0,0,0,1,0,0
Big Walder Frey,none,none,none,none,none,1,1,1,1,0,0,1
Biter,none,300,4,37,1,1,0,0,1,0,1,0
Black Bernarr,Night's Watch,none,none,none,18,1,0,0,0,1,0,1
Black Walder Frey,none,none,none,none,35,1,1,0,0,1,0,0
Blane,Night's Watch,none,none,none,23,1,0,0,1,0,0,0
Bloodbeard,none,none,none,none,25,1,0,0,0,0,0,1
Blue Bard,House Tyrell,none,none,none,12,1,0,0,0,0,1,0
Bonifer Hasty,Lannister,none,none,none,65,1,1,0,1,0,1,0
Borcas,Night's Watch,none,none,none,48,1,0,1,0,0,0,0
Boremund Harlaw,Greyjoy,none,none,none,11,1,1,0,0,0,1,0
Boros Blount,Baratheon,none,none,none,8,1,1,1,1,1,1,1
Borroq,Wildling,none,none,none,0,1,0,0,0,0,0,1
Bowen Marsh,Night's Watch,none,none,none,21,1,0,1,0,1,0,1
Bran Stark,House Stark,none,none,none,1,1,1,1,1,1,0,1
Brandon Norrey,Stark,none,none,none,49,1,1,0,0,0,0,1
Brenett,none,none,none,none,49,1,0,0,0,1,0,0
Brienne of Tarth,Stark,none,none,none,22,0,1,0,1,1,1,1
Bronn,Lannister,none,none,none,28,1,1,1,1,1,0,0
Brown Bernarr,Night's Watch,299,3,33,23,1,0,0,1,1,0,0
Brusco,none,none,none,none,22,1,0,0,0,0,1,1
Bryan Fossoway,Baratheon,299,2,62,42,1,1,1,1,0,0,0
Bryce Caron,Baratheon,299,2,65,29,1,1,1,1,0,0,0
Bryen,none,none,none,none,68,1,0,0,0,1,0,0
Bryen Farring,Baratheon,300,5,62,10,1,1,0,1,0,0,1
Brynden Rivers,House Targaryen,none,none,none,34,1,1,0,0,0,0,1
Brynden Tully,House Tully,none,none,none,2,1,1,1,1,1,1,0
Burton Crakehall,Lannister,299,2,7,55,1,1,1,1,0,0,0
Butterbumps,House Tyrell,none,none,none,6,1,0,0,0,1,0,0
Byam Flint,Night's Watch,299,3,33,33,1,0,0,0,1,0,0
Byan Votyris,none,none,none,none,54,1,0,1,0,0,0,0
Byron,Arryn,none,none,none,41,1,0,0,0,0,1,0
Cadwyn,House Lannister,none,none,none,47,1,0,0,1,0,0,0
Caleotte,House Martell,none,none,none,2,1,0,0,0,0,1,1
Catelyn Tully,House Stark,299,3,51,2,0,1,1,1,1,0,0
Cayn,House Stark,298,1,49,4,1,0,1,0,0,0,0
Cellador,Night's Watch,none,none,none,48,1,0,1,0,1,0,1
Cersei Frey,none,none,none,none,49,0,1,0,0,1,0,0
Cersei Lannister,House Lannister,none,none,none,4,0,1,1,1,1,1,1
Chataya,none,none,none,none,15,0,0,0,1,0,0,0
Chayle,Stark,299,2,50,9,1,0,1,1,0,0,0
Chella,Lannister,none,none,none,56,0,0,1,1,1,0,0
Chett,Night's Watch,299,3,46,41,1,0,1,1,1,0,0
Chiggen,Lannister,298,1,42,31,1,0,1,0,0,0,0
Chiswyck,none,299,2,30,26,1,0,0,1,0,0,0
Clayton Suggs,Baratheon,none,none,none,17,1,0,0,0,0,0,1
Clement Piper,Tully,none,none,none,38,1,1,0,0,0,1,0
Cleos Frey,none,299,3,21,7,1,1,0,1,1,0,0
Cley Cerwyn,Stark,299,2,66,16,1,1,0,1,0,0,0
Clubfoot Karl,Night's Watch,300,5,4,0,1,0,0,0,1,0,1
Clydas,Night's Watch,none,none,none,41,1,0,1,0,1,1,1
Cohollo,none,298,1,64,11,1,0,1,0,0,0,0
Coldhands,none,none,none,none,46,1,0,0,0,1,0,1
Colemon,House Arryn,none,none,none,34,1,0,1,0,1,1,0
Colen of Greenpools,House Baratheon,none,none,none,22,1,1,0,1,0,0,0
Conn,Lannister,298,1,62,42,1,0,1,0,0,0,0
Conwy,Night's Watch,none,none,none,6,1,0,0,1,0,0,0
Corliss Penny,Baratheon,none,none,none,26,1,0,0,0,0,0,1
Cortnay Penrose,Baratheon,299,2,42,31,1,1,0,1,0,0,0
Cotter Pyke,Night's Watch,none,none,none,48,1,0,0,0,1,0,0
Cragorn,House Greyjoy,300,4,29,19,1,0,0,0,0,1,0
Craster,none,299,3,33,23,1,0,0,1,1,0,0
Cregan Karstark,Stark,none,none,none,44,1,1,0,0,0,0,1
Creighton Longbough,none,none,none,none,4,1,0,0,0,0,1,0
Cressen,Baratheon,299,1,0,0,1,0,0,1,0,0,0
Cuger,Night's Watch,none,none,none,none,1,0,1,0,0,0,0
Cutjack,none,none,none,none,5,1,0,0,1,0,0,0
Daario Naharis,Targaryen,none,none,none,42,1,0,0,0,1,0,1
Dacey Mormont,Stark,299,3,51,63,0,1,1,0,1,0,0
Daemon Sand,Martell,none,none,none,38,1,0,0,0,1,0,1
Daenerys Targaryen,House Targaryen,none,none,none,3,0,1,1,1,1,0,1
Dagon Codd,Greyjoy,300,5,20,20,1,1,0,0,0,0,1
Dagmer,House Greyjoy,none,none,none,11,1,0,0,1,0,0,0
Dalbridge,Night's Watch,299,2,53,43,1,0,0,1,0,0,0
Dale Seaworth,Baratheon,299,2,58,10,1,1,0,1,0,0,0
Dalla,Wildling,300,3,76,73,0,1,0,0,1,0,0
Dalla (Dragonstone),Baratheon,none,none,none,0,0,0,0,1,0,0,0
Damon Dance-for-Me,none,none,none,none,12,1,0,0,0,0,0,1
Damon Vypren,none,none,none,none,49,1,1,0,0,1,0,0
Dancy,none,none,none,none,29,0,0,0,1,0,0,0
Danwell Frey,none,none,none,none,59,1,1,1,1,1,1,0
Dareon,Night's Watch,300,4,34,19,1,0,1,0,0,1,0
Daryn Hornwood,Stark,298,1,63,63,1,1,1,0,0,0,0
Daven Lannister,House Lannister,none,none,none,12,1,1,0,0,0,1,0
Davos Seaworth,Baratheon,none,none,none,0,1,1,0,1,1,0,1
Del,Wildling,299,3,41,41,1,0,0,0,1,0,0
Delp,House Tully,299,3,20,39,1,0,0,1,1,0,0
Denys Drumm,Greyjoy,none,none,none,19,1,1,0,0,0,1,0
Denys Mallister,Night's Watch,none,none,none,48,1,1,0,0,1,0,0
Dermot,Baratheon,none,none,none,65,1,0,0,1,0,1,0
Desmond,House Stark,298,1,50,1,1,0,1,0,0,0,0
Desmond Grell,Tully,none,none,none,7,1,1,0,1,1,1,0
Devan Seaworth,Baratheon,none,none,none,10,1,1,0,1,1,0,1
Deziel Dalt,Martell,none,none,none,38,1,1,0,0,1,0,1
Dhazzar,none,none,none,none,2,1,1,0,0,0,0,1
Dick Crabb,none,300,4,20,9,1,0,0,0,0,1,0
Dick Follard,Night's Watch,299,3,55,41,1,0,0,0,1,0,0
Dickon Manwoody,Martell,none,none,none,38,1,1,0,0,1,0,0
Dirk,Night's Watch,300,5,4,0,1,0,0,0,1,0,1
Dobber,none,299,2,14,5,1,0,0,1,0,0,0
Donal Noye,Night's Watch,300,3,64,19,1,0,1,1,1,0,0
Donella Hornwood,Stark,299,2,35,16,0,1,0,1,0,0,0
Donnel Drumm,Greyjoy,none,none,none,19,1,1,0,0,0,1,0
Donnel Haigh,none,none,none,none,49,1,1,0,0,1,0,0
Donnel Hill,Night's Watch,none,none,none,0,1,0,0,0,1,0,1
Donnel Locke,Stark,299,3,51,25,1,1,0,1,1,0,0
Donnel Waynwood,Tully,none,none,none,34,1,1,1,0,0,0,0
Donnis,House Stark,none,none,none,7,1,0,1,0,0,0,0
Dontos Hollard,none,300,3,61,57,1,1,1,1,1,0,0
Donyse,none,none,none,none,72,0,0,0,0,1,0,0
Doran Martell,Martell,none,none,none,2,1,1,0,0,0,1,1
Doreah,House Targaryen,299,2,12,11,0,0,1,1,0,0,0
Dornish Dilly,Night's Watch,299,3,55,55,1,0,0,0,1,0,0
Draqaz,none,none,none,none,2,1,1,0,0,0,0,1
Drennan,House Greyjoy,299,2,50,50,1,0,0,1,0,0,0
Drogo,Targaryen,298,1,64,3,1,1,1,0,0,0,0
Dudley,Stark,299,3,34,34,1,0,0,0,1,0,0
Dunsen,none,none,none,none,26,1,0,0,1,0,0,0
Dunstan Drumm,Greyjoy,none,none,none,19,1,1,0,0,0,1,0
Duram Bar Emmon,Baratheon,none,none,none,0,1,1,0,1,0,0,0
Dykk Harlaw,Greyjoy,299,2,66,66,1,0,0,1,0,0,0
Dywen,Night's Watch,none,none,none,48,1,0,1,1,1,0,1
Easy,Night's Watch,300,3,55,55,1,0,0,0,1,0,0
Ebben,Night's Watch,299,2,68,43,1,0,0,1,0,0,0
Eddard Karstark,Stark,298,1,63,53,1,1,1,0,0,0,0
Eddard Stark,House Stark,299,1,65,1,1,1,1,0,0,0,0
Eddison Tollett,Night's Watch,none,none,none,13,1,0,0,1,1,1,1
Edmure Tully,House Tully,none,none,none,28,1,1,1,1,1,1,0
Edric Dayne,none,none,none,none,34,1,1,0,0,1,0,0
Edric Storm,House Baratheon,none,none,none,10,1,0,0,0,1,0,0
Edwyn Frey,none,none,none,none,38,1,1,0,0,1,1,0
Eggon,none,none,none,none,30,1,0,0,1,0,0,0
Elder Brother,none,none,none,none,31,1,0,0,0,0,1,0
Eldred Codd,Greyjoy,none,none,none,18,1,1,0,0,0,1,0
Eleyna Westerling,Stark,none,none,none,45,0,1,0,0,1,1,0
Elinor Tyrell,Tyrell,none,none,none,6,0,1,0,0,1,1,0
Ellaria Sand,Martell,none,none,none,38,0,1,0,0,1,0,1
Elmar Frey,none,none,none,none,59,1,1,1,1,1,0,0
Elyas Willum,Baratheon,none,none,none,22,1,1,0,1,0,0,0
Emmon Cuy,Baratheon,299,2,42,33,1,1,0,1,0,0,0
Emmon Frey,Lannister,none,none,none,29,1,1,1,0,0,1,0
Emmond,Greyjoy,none,none,none,1,1,0,0,0,0,1,0
Emrick,Night's Watch,none,none,none,75,1,0,0,0,1,0,1
Endehar,Greyjoy,none,none,none,56,1,0,0,1,0,0,0
Elwood,House Tully,299,3,20,20,1,0,0,0,1,0,0
Endrew Tarth,Night's Watch,299,3,69,60,1,0,1,0,1,0,0
Enger,House Tully,none,none,none,39,1,0,0,1,0,0,0
Eon Hunter,Arryn,300,3,80,38,1,1,1,0,1,0,0
Erik Ironmaker,Greyjoy,none,none,none,19,1,1,0,0,0,1,0
Ermesande Hayford,none,none,none,none,2,0,1,0,1,1,1,0
Eroeh,Targaryen,298,1,68,61,1,0,1,0,0,0,0
Erreck,none,none,none,none,12,1,0,0,0,1,0,0
Erryk (Guard),House Tyrell,none,none,none,6,1,0,0,0,1,1,0
Esgred,Greyjoy,none,none,none,24,1,0,0,1,0,0,0
Ezzara,Targaryen,none,none,none,30,0,0,0,0,0,0,1
Falia Flowers,Greyjoy,none,none,none,29,0,0,0,0,0,1,0
Falyse Stokeworth,Lannister,300,5,36,2,0,1,0,1,0,1,0
Farlen,House Stark,299,2,56,46,1,0,0,1,0,0,0
Fat Walda Frey,none,none,none,none,37,0,1,0,0,1,0,1
Flement Brax,Lannister,none,none,none,56,1,1,1,0,1,1,0
Fletcher Will,none,299,3,34,34,1,0,0,0,1,0,0
Fogo,none,298,1,61,46,1,1,1,0,0,0,0
Forley Prester,Lannister,none,none,none,33,1,1,0,0,0,1,0
Fornio,Night's Watch,none,none,none,33,1,0,0,0,1,0,0
Frenken,Lannister,none,none,none,15,1,0,0,1,1,0,0
Frenya,Wildling,300,5,69,37,0,0,0,0,0,0,1
Frynne,Martell,none,none,none,40,0,0,0,0,0,1,0
Gage,House Stark,none,none,none,4,1,1,0,1,0,0,0
Galazza Galare,none,none,none,none,23,0,1,0,0,0,0,1
Galbart Glover,Stark,none,none,none,55,1,1,1,0,1,0,0
Gared,Night's Watch,297,1,1,0,1,0,1,0,0,0,0
Garin (Orphan),Martell,none,none,none,21,1,0,0,0,0,1,0
Gariss,House Stark,none,none,none,50,1,0,0,1,0,0,0
Garlan Tyrell,House Tyrell,none,none,none,62,1,1,0,1,1,1,0
Garrett Paege,Lannister,none,none,none,30,1,1,0,0,0,1,0
Garse Goodbrook,none,299,3,none,none,1,1,0,0,1,0,0
Garth Greyfeather,Night's Watch,300,5,31,48,1,0,0,0,1,0,1
Garth of Greenaway,Night's Watch,300,5,4,33,1,0,0,0,1,0,1
Garth of Oldtown,Night's Watch,299,3,33,33,1,0,0,0,1,0,0
Gawen Westerling,Stark,none,none,none,33,1,1,0,0,0,1,0
Gelmarr,House Greyjoy,299,2,56,50,1,0,0,1,0,0,0
Gendry,none,none,none,none,27,1,0,1,1,1,1,0
Genna Lannister,Lannister,none,none,none,33,0,1,0,0,0,1,0
Gerald Gower,Baratheon,none,none,none,54,1,1,0,0,1,0,0
Gerold Dayne,Martell,none,none,none,13,1,1,0,0,0,1,0
Gerren,none,299,2,19,14,1,0,0,1,0,0,0
Gerris Drinkwater,Martell,none,none,none,6,1,1,0,0,0,0,1
Gevin Harlaw,Greyjoy,299,2,66,37,1,1,0,1,0,0,0
Ghael,none,none,none,none,71,1,0,0,0,1,0,1
Ghost of High Heart,none,none,none,none,22,0,0,0,0,1,0,0
Gillam,none,none,none,none,31,1,0,0,0,0,1,0
Gilly,Wildling,none,none,none,23,0,0,0,1,1,1,1
Gilwood Hunter,Arryn,none,none,none,80,1,1,0,0,1,0,0
Gladden Wylde,Stark,298,1,55,43,1,1,1,0,0,0,0
Glendon Hewett,Night's Watch,none,none,none,69,1,0,0,0,1,0,0
Goady,Night's Watch,none,none,none,0,1,0,0,0,1,0,0
Godric Borrell,none,none,none,none,9,1,1,0,0,0,0,1
Godry Farring,Baratheon,none,none,none,3,1,1,0,0,0,0,1
Godwyn,House Lannister,none,none,none,32,1,0,1,0,0,0,0
Goghor,none,none,none,none,52,1,0,0,0,0,0,1
Gormond Goodbrother,Greyjoy,none,none,none,1,1,1,0,0,0,1,0
Gorold Goodbrother,Greyjoy,none,none,none,1,1,1,0,0,0,1,0
Gran Goodbrother,Greyjoy,none,none,none,1,1,1,0,0,0,1,0
Grazdan,none,299,3,27,27,1,1,0,0,1,0,0
Grazdan mo Eraz,none,none,none,none,42,1,1,0,0,1,0,0
Grazdan mo Ullhor,none,299,3,27,27,1,1,0,0,1,0,0
Grazdan zo Galare,none,none,none,none,2,1,1,0,0,0,0,1
Grazdar zo Galare,none,none,none,none,2,1,1,0,0,0,0,1
